"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"01003",2021-01-30,1.0964393,NA,NA,10.3005856,NA,66.3463471,6.7103375,56.0854218,1.1936589,32.6085395,57.0722257,24.9007734,34.8938122,13.4479185,66.5440637,31.3197095,29.1776447,24.8353337,9.7488284,49.4701276,85.1201105
"01055",2021-01-30,0.8269493,NA,NA,NA,NA,NA,NA,NA,4.7580498,44.0500463,60.8376614,17.2177053,39.7846687,13.7002098,NA,NA,NA,NA,NA,49.400151,NA
"01069",2021-01-30,1.0984628,NA,NA,9.2639584,NA,60.6906855,13.5443657,59.9155366,3.237989,41.2745868,55.9200837,17.4094584,30.7195433,8.4809122,64.9227855,33.0983661,20.2420259,14.5587375,9.5118321,51.0682787,85.5789401
"01073",2021-01-30,1.4545239,NA,NA,13.1846007,NA,71.7743987,10.5989373,73.2025336,2.3664467,36.394439,52.3984559,16.4042167,33.3621497,10.1202887,69.743692,30.1962304,27.6055884,24.2439942,6.1875078,41.1126666,92.3449006
"01081",2021-01-30,3.5003004,NA,NA,13.5213907,NA,70.1831481,16.0873061,65.8245488,2.741381,37.7799255,46.5280975,19.0625969,28.5309496,10.5998773,66.1252623,NA,NA,NA,NA,46.4113812,90.5099897
"01083",2021-01-30,1.4854883,NA,NA,NA,NA,NA,NA,NA,1.4854281,33.9062903,46.8057927,11.7237875,29.8129335,9.4854829,NA,NA,NA,NA,NA,41.643609,NA
"01089",2021-01-30,1.314871,46.5713668,30.6952526,10.0093886,NA,78.0258039,12.8237338,80.6475798,2.0538518,36.34097,52.8378282,15.1957635,31.0343899,10.1029531,69.5270642,35.8264017,31.8330831,26.8647348,6.8593433,44.2366098,90.3603602
"01097",2021-01-30,1.0823308,56.6853572,14.3756133,14.8742534,NA,63.893347,11.1175524,64.5041093,1.4256562,35.2925064,55.8899558,20.7738138,33.9158196,13.2260318,70.6813188,30.4036667,25.9479182,21.2157581,8.9755689,45.4134493,90.0895888
"01101",2021-01-30,1.4818552,NA,NA,15.6237164,NA,75.3980751,12.4895786,82.120529,1.4412833,30.937025,50.4142666,14.1879245,30.5484305,7.825088,71.0699585,37.28827,35.5879945,34.2900451,11.5333366,52.4015357,94.2057366
"01103",2021-01-30,2.1921647,NA,NA,6.6961244,NA,63.4939282,10.7197551,NA,1.0125354,33.4200879,54.7247828,23.8357947,35.4349609,13.2038509,68.7198792,NA,NA,NA,NA,40.7540209,NA
